HDR|TransactionDetails|20250515|Start
10000Kristin Williams    98198381947122496digital cards               18519.42 11-10-2023 & 08:16:1
10001Sarah Adams         78672253772866808RTGS                        43952.23 29-12-2024 & 02:05:3
10002Gabriel Clark       64338155041390894mobile wallets              38327.01 18-11-2024 & 23:26:2
10003Jacqueline Cooper   49106539737861482NEFT                         8013.89 29-09-2024 & 04:22:4
10004Taylor Evans        34619814595971146ATM Transactions            28325.81 18-07-2024 & 21:23:1
10005Brandon Rivera      77950326457869668digital cards               34742.11 02-03-2024 & 01:17:5
10006Ian Clark           95212710444616867RTGS                        11926.22 25-06-2023 & 05:49:5
10007Brianna Ramirez     69030876862628421IMPS                        20100.39 16-03-2024 & 20:34:5
10008Sara Shepherd       53753640478775594IMPS                        30390.27 05-04-2025 & 00:50:1
10009Mark Kelly          63223834693750336mobile wallets              18781.19 03-06-2024 & 06:22:4
10010David Conway        52379767417474155NEFT                        21722.72 19-05-2024 & 01:01:1
10011Nathan Chase        70892083572444861RTGS                         2299.37 23-05-2024 & 01:22:0
10012Angel Murillo       22066288797799925digital cards               28702.90 19-01-2025 & 15:50:1
10013Christopher Walls   60405785981778914mobile wallets               4379.16 05-05-2024 & 06:47:0
10014Kevin Brown         19149129309724386ATM Transactions            40935.80 14-11-2024 & 06:30:3
10015Leslie Horn         52934198704897256mobile wallets              14257.09 22-08-2024 & 16:54:1
10016Lisa Rodriguez MD   55313951804958470NEFT                        48191.80 13-11-2024 & 05:22:3
10017Christopher Cross   50047737133134843ATM Transactions            38148.00 30-03-2024 & 14:29:1
10018Jeffrey Stein       39852645779410773IMPS                         7566.46 26-12-2024 & 12:48:3
10019Ryan Mcdonald       32887547475534862UPI                          8602.87 07-05-2024 & 05:39:4
10020Gregory Sanchez     77182634674478921ATM Transactions            14123.05 20-12-2023 & 16:33:3
10021Sarah Jackson       64358594925039022digital cards               29190.25 14-08-2024 & 06:03:3
10022Barbara Dixon       60216689439253316NEFT                        17977.01 10-10-2023 & 09:30:4
10023Fernando Griffith   60445584424624935RTGS                        41504.38 03-11-2023 & 21:30:3
10024Renee Baker         92876084435008794Cheque                      46336.69 31-03-2024 & 04:10:3
10025Devon Green         31858133335134681ATM Transactions            26195.93 18-02-2024 & 09:43:4
10026Marc Williams       62158173462174031mobile wallets              11936.31 05-02-2024 & 09:10:3
10027Lori Wallace        86465284526536589Direct Deposit              11946.04 18-09-2023 & 11:48:4
10028Bryan Graham        28838591064074641IMPS                        25351.53 10-12-2024 & 18:04:1
10029Michael Edwards     84501948916946370IMPS                        14060.18 27-01-2024 & 15:03:2
10030Shawn Coleman       29542795870076175NEFT                        36384.21 12-10-2024 & 08:17:3
10031Dustin Collins      30660051001992974IMPS                        17646.91 14-08-2024 & 23:22:2
10032Patricia Stanley MD 11678113793900408ATM Transactions            36443.20 21-10-2023 & 04:29:3
10033Anne Ortiz          87143484903430088IMPS                         3055.39 19-12-2024 & 07:59:5
10034Alexandra Flowers   61375560759000582Direct Deposit               9578.06 22-10-2023 & 23:34:5
10035Claire Bruce        98070397966490901UPI                          4546.51 12-11-2023 & 17:04:3
10036Mark Morton         20619546937642052RTGS                        13527.48 03-02-2024 & 22:27:3
10037Joseph Clark        81792313520906876IMPS                        49721.36 04-08-2024 & 08:13:4
10038Patrick Diaz        61326682842716134Cheque                      20537.95 03-10-2023 & 23:00:3
10039Gregory Burch       74962037073082234mobile wallets              37852.35 04-06-2024 & 08:15:1
10040Jamie Payne         93399873713546999RTGS                        39784.87 23-05-2023 & 00:45:4
10041Angela Powell       87363925234217490NEFT                        48907.71 28-03-2025 & 14:02:4
10042Daniel Long         99235629669156113mobile wallets              46941.60 02-06-2023 & 21:42:0
10043Denise Mitchell     54858438824173893Cheque                      10717.85 06-05-2024 & 08:50:0
10044Victoria Sanchez    98238941505451320Direct Deposit               6976.58 04-08-2024 & 21:57:0
10045Paul Jackson        88210684520416013IMPS                         8638.31 12-10-2023 & 02:18:1
10046Marc Palmer         72604570812295843ATM Transactions            47163.04 22-04-2025 & 14:02:2
10047Bradley Franklin    49117147793310273Direct Deposit              25654.15 16-01-2025 & 08:35:1
10048Patrick Walker      10596373528029235UPI                         26671.47 27-07-2023 & 10:10:1
10049Kimberly Dougherty  67777184916551143digital cards               30332.21 20-07-2023 & 19:26:1
TRL|TransactionDetails|50|End
